"age","disabilities","uk_ethnic_origin","gender","sexual_orientation","transgender","years_experience","scenario_name","scenario_role","scenario_description","scenario_job_title","scenario_organisation_size","scenario_organisation_sector","scenario_organisation_sector_other","scenario_expertise_portfolio_risk_management_governance","scenario_expertise_portfolio_social_organisation_strategy_and_process","scenario_expertise_portfolio_cyber_security_law_regulation","scenario_expertise_portfolio_political_aspects_of_cyber_security","scenario_expertise_portfolio_human_factors_and_usable_security","scenario_expertise_portfolio_security_culture_narrative_and_communication","scenario_expertise_portfolio_privacy_online_rights","scenario_expertise_portfolio_data_science_ai_for_cyber_security","scenario_expertise_portfolio_malware_attack_technologies","scenario_expertise_portfolio_adversarial_behaviours","scenario_expertise_portfolio_security_operations_incident_management","scenario_expertise_portfolio_forensics","scenario_expertise_portfolio_cryptography","scenario_expertise_portfolio_operating_systems_virtualisation_security","scenario_expertise_portfolio_distributed_systems_security","scenario_expertise_portfolio_formal_methods_for_security","scenario_expertise_portfolio_authentication_authorisation_accountability","scenario_expertise_portfolio_software_security","scenario_expertise_portfolio_web_mobile_security","scenario_expertise_portfolio_secure_software_lifecycle","scenario_expertise_portfolio_network_security","scenario_expertise_portfolio_cloud_security","scenario_expertise_portfolio_applied_cryptography","scenario_expertise_portfolio_hardware_security","scenario_expertise_portfolio_cyber_physical_systems","scenario_expertise_portfolio_physical_layer_and_telecommunications_security"
"40-49","No, I do not have a disability, or a history/record of having one","White","Female","No","No","1","audit ","Current role","a number of cyber professionals coming together to deliver the same end goal with different approaches and technology","Compliance Manager ","Large (250 employees or more)","utilities and production (including manufacturing)",NA,"100","18.24","47.33","3.7","3.57","2.33","6.31","2.47","87.65","2.47","65.84","88.2","91.77","78.6","88.07","72.57","95.06","57.48","15.78","8.5","95.34","86.56","93.55","9.74","98.49","27.02"
"60 and over","No, I do not have a disability, or a history/record of having one","White","Male","No","No","20","Achieving compliance on a noncompliant network","Previous role","PCI DSS is highly prescriptive and near-impossible to achieve on infrastructure used for other purposes. The university for which I worked provided ICT services to the public theatre it owned - the theatre's points of sale were on the university network but we risked charges from our acquiring bank if we failed to make the theatre compliant.","IT governance and sustainability","Large (250 employees or more)","education","0","67.63","2.47","39.92","0.96","22.5","14.13","11.8","2.47","1.37","4.66","17.7","0","5.21","13.72","0.82","41.02","7.82","7.82","3.02","3.84","31.14","5.21","2.88","1.51","0.55","30.86"
"50-59","No, I do not have a disability, or a history/record of having one","White","Male","No","No","27","Detailed investigation during an incident","Current role","To bring a mixed team together to investigate a typical cyber security incident","Senior Manager Cyber Defence","Large (250 employees or more)","utilities and production (including manufacturing)",NA,"46.04","100","100","19.42","99.4","98.98","100","1.87","98.98","99.12","99.67","53.44","2.83","100","99.81","51.8","99.4","46.04","100","41.1","99.53","99.4","8.18","3.79","2.41","48.78"
"60 and over","No, I do not have a disability, or a history/record of having one","White","Male","No","No","23","cyber security exercise","Previous role","Run a real time, full spectrum cyber security exercise. ","Cyber Operations Lead","Large (250 employees or more)","Other (please state)","Critical National Infrastructure","85.19","41.98","74.07","87.38","59.53","36.35","0","0","76.27","76.68","94.51","5.08","0","54.05","48.29","43.35","47.6","24.69","75.99","0","93.42","11.11","0","65.02","55.56","24.28"
"I prefer not to answer","I prefer not to answer","Mixed two or more ethnic groups","I prefer not to answer","No","No","1","Lack of support from peers ","Current role","Intelligence was not accepted by a peer to support an incident. Found it difficult to relate to this decision, professionally. The support to rectify the standard required from the peer was lacking. Making an incident even more stressful for those involved when it did not need to be.     ","Cyber Threat Intelligence Lead ","Large (250 employees or more)","utilities and production (including manufacturing)",NA,"47.46","91.63","43.07","91.77","7.41","93.42","4.12","4.66","43.9","91.22","93.96","45.68","13.17","14.13","9.74","60.91","90.12","59.4","61.45","41.02","12.07","3.02","8.78","10.15","40.19","38.68"
"20-25","No, I do not have a disability, or a history/record of having one","White","Male","Yes","No","3","Redesign of cybersecurity detection process and configuration","Current role","After coming into my current job I assessed the current state of the out of the box detection and response solutions and found them to be inadequate (backed up by red team assessment). I am now in the current process of identifying changes and there urgencies.","Cybersecurity manager ","Large (250 employees or more)","utilities and production (including manufacturing)",NA,"25.79","0","0","20.92","0","17.48","0","0","52.15","0","94.84","22.35","0","0","19.77","0","0","0","0","0","81.38","51.29","0","40.97","0","0"
"30-39","No, I do not have a disability, or a history/record of having one","White","Male","No","No","6","Cyber security market research","Previous role","Organisation (central government) commissioned market research to better understand 
a) Cyber security sector (number of companies, turnover, services offered etc.) 
b) Cyber security labour market (skills gaps and shortages) ","Head of Cyber Advocacy","Large (250 employees or more)","Other (please state)","Government","0","79.01","11.8","81.07","0","66.53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50-59","No, I do not have a disability, or a history/record of having one","White","Male","No","No","37","Educating military leaders on cyber risk","Current role","In the context of masters-level education within Defence Studies, I am responsible for educating middle-ranking and senior officers on the importance of cybersecurity risk to their operational roles. Interventions include lectures and use of war gaming","Head of a government cyber training organisation","Large (250 employees or more)","Other (please state)","Government","64.06","65.29","57.48","56.79","66.26","67.08","4.39","0","7.82","56.79","23.32","14.13","3.02","0","0","27.02","5.08","3.02","27.98","5.49","52.95","0","0","22.36","25.24","6.04"
"60 and over","No, I do not have a disability, or a history/record of having one",NA,"Male","No","No","30","Hong Kong police cold case cybercrime analysis","Previous role","retrospective analysis of digital forensic evidence of a cold case to extract a quantitative estimate of and uncertainty bounds on the probability of a successful prosecution.","Associate Professor (Senior Lecturer) in cyber security","Small (10 to 49 employees)","professional, scientific, and technical","0","0","0","17.97","0","0","0","0","0","0","0","0","60.36","0","17.97","0","0","0","0","0","0","0","0","0","0","0","0"
"50-59","No, I do not have a disability, or a history/record of having one","White","Male","No","No","22","Promoting cyber awareness to the wider business","Current role","6.	At [company] we had a CyPOC (Cyber Point of Contact) program that looked to promote cybersecurity within their part of the organisation. It hadn’t been a success, and when I suggested we rebrand and relaunch it, it was met by a lack of interest in many quarters. I persevered and argued that we needed to make it personal for it to succeed. I referenced how, when I was in the military, I was the qualified first aider in the team. There was an opportunity for others to get trained up, but there were no volunteers. Their reasoning was that they didn’t want the responsibility if someone keeled over, or they didn’t like blood/vomit, or they might get promoted if I collapsed and died (I’ve always hoped that last one was a joke). I countered that if, in a few months’ time, their parent collapsed and stopped breathing, or their child began choking on something, or their partner had an accident at home, how would they feel, standing there, knowing that they could have received free training that would have put them in a better position to help? This resulted in several of them applying for the first aid course. So, my philosophy for cybersecurity awareness is that you must make it personal. People aren’t that bothered about the business, but if you say that you will teach them skills that will make them and their family more secure online, and it’s free, they are more likely to commit. They become more cyber aware and that enhances the cyber maturity within their team. I managed to get a few interested colleagues onboard, and the CISO signed it off. 
About the same time, a member of [company] had been the victim of a cyberattack at home. This resulted in all the family accounts online being compromised (banks, insurance, gaming platforms, NHS, social media, streaming services, etc.). They didn’t know where to turn, so he turned to his line manager, who turned to the CISO, who turned to me. We helped give him some advice and pointed him to some agencies that could help him, including the police. He was an emotional wreck and had even had the hacker phone him at home to demand £500! So now we had evidence that ransomware attacks could happen to the individual. That it’s not just a business thing. He eventually got his life back with the help of a detective sergeant who spent time with him and his family in their home to get his accounts sorted and hardened.  I asked if he was willing to share his very personal story at our Cyber Awareness month, and he was enthusiastic to do so. He ran a session with the Det Sgt, him explaining the personal trauma, while she promoted how to best keep you and your family safe online. We promoted it and it was the most watched event that year. It was recorded, and word of mouth meant it continued being viewed weeks later. It also resulted in a significant uptick in applications to our newly revamped “cyber champions” program. So, making it personal is proven to have more impact than suggesting individuals would want to protect the business.
","Cyber Consultancy Owner and Consultant","Micro (1 to 9 employees)","professional, scientific, and technical",NA,"0","49.93","0","0","100","100","40.6","0","0","25.1","24.83","0","0","0","0","0","0","0","45.27","0","0","0","0","0","0","0"
"50-59","No, I do not have a disability, or a history/record of having one","White","Male","No","No","5","Internal Cyber Forum","Current role","OT Cyber lags IT - so cyber seen as an IT problem even in an industry with OT considerations (""cos everything's air-gapped innit"").  OT colleagues needed to be introduced to the risks of assuming there was nothing for them to be worried about from cyber.  I created an internal cyber forum involving members from all disciplines - IT/OT but also legal, procurement and standards.  This has led to a slow but steady improvement of understanding and engagement with cyber risk across the organisation, up to board level.","Head of IT","Medium (50 to 249 employees)","transport and storage",NA,"97.26","93.55","65.71","67.22","94.51","95.47","56.65","8.37","51.99","54.46","85.73","5.62","5.62","49.11","12.21","6.17","35.39","36.21","54.05","43.62","53.77","59.26","10.97","57.48","6.31","54.05"
"30-39","No, I do not have a disability, or a history/record of having one","White","Male","Yes","No","8","Developing cyber security software","Previous role","Perform the full software system lifecycle for a solution to solve cyber issues","CTO","Micro (1 to 9 employees)","information and communications","0","5.18","5.96","16.32","4.4","5.7","4.92","23.58","4.4","2.07","5.7","54.4","18.65","26.42","6.48","5.7","4.4","49.22","100","67.88","100","96.89","76.68","31.87","27.72","83.42","2.07"
"40-49","No, I do not have a disability, or a history/record of having one","White","Female","No","No","15","Identity and Access Management Rollout","Current role","We have attempted and still trying to rollout an identity governance solution. This was not wanted by IT. The benefits were mainly security, but there were benefits to automation as well, improving accuracy and freeing up time for Service Desk personnel to do other work. The solution was not embraced by Service Desk and Management, it was very much trying to sell something that no one wanted. We are still implementing this 2 years later.","CISO","Large (250 employees or more)","construction",NA,"32.24","93.69","2.33","3.7","4.39","2.47","2.47","2.47","3.29","1.92","2.19","3.29","2.47","2.74","3.57","2.88","38.27","2.33","2.61","2.88","2.06","3.16","2.33","1.92","2.47","3.02"
"20-25","No, I do not have a disability, or a history/record of having one","White","Male","Yes","No","5","Client Ransomware Incident","Current role","Client was hit with ransomware, which required our response team to conduct forensics, threat actor negotiation to delay data release, technical and non technical mitigations, communications with staff & media, & interaction with regulatory bodies & sanctions bodies in case client decide to pay","Cyber Security Consultant","Small (10 to 49 employees)","information and communications",NA,"77.31","57.01","92.26","93.09","52.48","100","7.63","3.1","91.99","100","93.22","93.09","3.37","4.47","4.75","4.75","55.91","21.76","5.43","3.1","71.28","6.26","3.1","37.12","15.86","7.49"
"20-25","Yes, I have both a mental and physical disability, or have a history/record of having them","White","Male","No","No","4","Testing of Ransomware decryptor ","Current role","0","Cyber Security Consultant","Small (10 to 49 employees)","information and communications",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40-49","I prefer not to answer","White","Male","No","No","7","Incidents - mobile malware ","Current role","Leading the response (on behalf of FCO) to the deployment and use of NSO Pegasus mobile malware ","Founder of own cyber security consultancy ","Micro (1 to 9 employees)","Other (please state)","CNI ","56.16","59.89","57.02","100","56.73","88.83","0","0","100","100","100","35.24","0","22.35","0","0","0","21.78","57.31","0","0","0","0","0","0","0"
"40-49","No, I do not have a disability, or a history/record of having one","Asian (Indian, Pakistani, Bangladeshi, Chinese, any other Asian background)","Male","No","No","10","Helping out with IR","Current role","Working in the red team. Was asked to support the IR/forensics capability with investigation of an incident. ","Lead Cyber Analyst ","Large (250 employees or more)","transport and storage",NA,"18.4","9.73","14.88","7.56","12.44","23.55","4.31","4.31","83.17","97.26","36.29","100","5.29","72.58","4.31","21.11","100","53.46","26.43","6.21","74.71","6.21","27.62","6.48","31.95","17.86"
"40-49","No, I do not have a disability, or a history/record of having one","White","Male","No","No","17","Develop effective and real world governance to protect assets while facilitating and enabling business goals and objectives.","Current role","Regulatory demands compounded by executive leadership drive to both demonstrate compliance holistically with peers, regulators, customers and partners while competing with business performance and financial drivers. 

The risk here is to 'tick a box' develop a solution that could be technically sufficient but lack practical and real world application, a false positive and/or negatively obstruct or otherwise impact some or all of business operations, functions and capabilities. 

Managing expectations, using maturity assessments to support gap analysis and both realistic and proportionate activities aligned to organisational risk appetite. Importantly effective change management and communications channels from the outset and the engagement and buying of business and technical stakeholders concerned directly as well as indirectly. 

Leveraging internal and external SMEs to compensate for gaps in project team exploiting opportunities confidently while avoiding missed opportunities and/or avoidable mistakes.

Ultimately a strong response aligned to business priorities, goals, objectives and values. A collective 'one team' approach leading to strong relationships, developing positive behaviors complimentary to good and effective security posture... ultimately organisational culture change and even emulation or approach / method and execution for non-security business activities to deliver results! ","Global GRC Director","Large (250 employees or more)","information and communications",NA,"100","100","100","83.22","100","100","77.58","51.67","79.67","100","78.7","78.86","81.68","80.96","83.52","100","82.15","80.76","84.63","75.38","78.51","83.5","76.37","78.19","79.72","81.31"
"20-25","No, I do not have a disability, or a history/record of having one","White","Female","No","No","1","Incident Response","Current role","Responding to a cyber incident typically involves a variety of different technical areas. In order to successfully support a client in identifying, containing and recovering to an attack, all of these areas should be implemented. ","Cyber Security Consultant","Small (10 to 49 employees)","professional, scientific, and technical",NA,"51.67","32.5","86.39","55.56","57.08","67.22","51.53","14.58","89.17","99.17","99.03","58.75","19.58","34.31","67.36","67.22","52.36","42.64","89.58","32.08","81.81","65.42","32.78","34.17","82.64","66.81"
"I prefer not to answer","I prefer not to answer","Prefer not to say","Male","I prefer not to answer","I prefer not to answer","15","Communicating risk to non technical colleagues","Current role","Working in construction the challenge is to bring colleagues to an understanding of the benefits of working in a secure manner.  This goes beyond just cyber security (people & processes)","Head of Information Security & Compliance","Large (250 employees or more)","construction",NA,"76.35","77.17","76.35","44.12","36.98","0","0","0","33","7.9","43.02","0","0","0","0","0","0","0","0","0","0","0","0","0","77.59","0"
"40-49","No, I do not have a disability, or a history/record of having one","White","Male","No","No","10","Implementation of Security event/alert lifecycle management process.","Current role","0","Cyber Operations, Operations Manager","Large (250 employees or more)","finance and insurance",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50-59","No, I do not have a disability, or a history/record of having one","White","Male","No","No","13","Skills shortage","Current role","Difficulty recruiting and retaining skilled staff, or even new entrants with aptitude. Especially difficult to access a diverse talent pool. ","Vice President ","Large (250 employees or more)","professional, scientific, and technical",NA,"100","99.42","99.13","78.32","100","98.55","89.31","60.12","0","75.72","74.86","0","3.76","5.78","2.31","56.36","0","58.96","99.13","0","0","0","0","0","0","0"
"50-59","No, I do not have a disability, or a history/record of having one","White","Male",NA,"No","20","Dealing with targeted phishing campaigns","Current role","We saw a campaign targeted at a small number of individuals, which appeared well coordinated and focused on trying to gain their corporate login details.","Head of Information Security","Large (250 employees or more)","professional, scientific, and technical",NA,"51.66","83.07","8.31","10.51","92.81","89.38","30.67","6.67","94.32","95.14","92.26","6.26","6.94","63.87","10.37","86.91","92.67","73.74","11.06","8.86","80.19","79.51","9.96","13.11","11.19","10.37"
"40-49","No, I do not have a disability, or a history/record of having one","Prefer not to say","I prefer not to answer","I prefer not to answer","I prefer not to answer","25","The iceberg breach","Current role","'- client security breach 
- leading to authorised push payment fraud (APP)
- task was to investigate, triage/comment on adequacy of current controls, trace assets (typical for similar)
- interesting part was investigation and tracing; client convinced an inside job. Reality was much bigger
- uncovered a huge organised crime network
- interesting part was how we uncovered: combination of technical and some very tenacious curiosity (and multilingual skills)","Founder","Micro (1 to 9 employees)","professional, scientific, and technical",NA,"1.81","21.15","80.97","37.76","18.13","17.52","89.12","33.53","74.92","100","22.36","88.82","19.03","1.51","18.43","15.41","3.02","4.83","6.04","7.85","4.83","50.15","6.65","1.21","4.83","4.83"
"60 and over","No, I do not have a disability, or a history/record of having one","White","Male","No","No","8","C-suite to user disconnect ","Current role","Senior management/c-suite introduce security measures with only technical explanation. End users I.e employees find no resonance with what they see as impediment to efficient working, therefore seek “work arounds”, effectively increasing risk above where it sat prior to implementation ","Director","Micro (1 to 9 employees)","information and communications",NA,"74.32","67.67","8.46","5.44","100","100","60.12","6.95","7.25","45.62","54.98","6.65","6.04","45.32","6.34","59.82","64.35","59.52","5.44","6.95","81.27","51.06","7.85","7.25","6.65","5.74"
"30-39","No, I do not have a disability, or a history/record of having one","White","Male","No","No","3","Threat Lever","Current role","Understanding the legal/regulatory/policy mechanisms for reducing particular threat vectors, and developing a plan for increasing use or uptake of these mechanisms. ","Policy Advisor","Large (250 employees or more)","professional, scientific, and technical",NA,"100","100","100","68.59","43.07","100","44.17","58.3","1.1","85.87","23.05","0","1.37","0","0","0","0","1.65","0","0","0.96","0","0","1.51","2.19","4.25"
"40-49","No, I do not have a disability, or a history/record of having one","White","Male","No","No","21","Scoping a multi-million pound cyber improvement programme","Current role","Led a team to specify: 1) What would be done 2) What the benefits are (e.g. to reduce risk and increase maturity) 3) How much it would cost 4) What resources are needed then hired and mobilised them","Enterprise Security Architect","Large (250 employees or more)","utilities and production (including manufacturing)",NA,"32.65","16.6","48.97","51.17","33.06","51.58","1.51","14.13","15.64","12.76","41.7","1.92","2.33","0","5.49","0","38.13","1.51","6.58","7.41","36.9","17.56","0.27","0.27","0.27","5.08"
"50-59","No, I do not have a disability, or a history/record of having one","White","Female","Yes","No","8","automated password reset","Current role","Bulk reset of user account passwords
No access to tooling
Automation required to reset password, revoke sessions and notify users 
Also requires additional comms to ensure additional things are in place and users aware of process.","SOAR (Security Orchestration, Automation and Response) Product Owner","Large (250 employees or more)","utilities and production (including manufacturing)",NA,"30.45","0","0","6.04","0","39.92","0","0","0","5.9","34.71","0","0","0","0","24.83","47.33","0","0","0","0","38.82","0","0","13.44","0"
"50-59","No, I do not have a disability, or a history/record of having one","White","Male","No","No","15","Technical Debt ","Current role","Reliance on critical systems that were installed 20yers ago, which require managing to reduce risk of an adverse event ","CISO","Large (250 employees or more)","construction",NA,"72.7","0","0","77.23","72.84","75.86","0","0","72.43","76.68","73.11","0","0","74.76","0","55.14","70.64","0","0","0","0","0","0","76.95","76.95","0"
"40-49","No, I do not have a disability, or a history/record of having one","White","Female","No","No","5","Hybrid Threat","Current role","n?a","Director","Medium (50 to 249 employees)","information and communications",NA,"1.1","55.97","51.17","79.42","1.65","57.75","2.61","44.44","1.65","98.63","44.99","53.5","2.74","2.33","1.78","1.78","1.1","2.06","1.78","0.96","1.51","0.96","2.19","0.69","2.19","1.65"
"50-59","No, I do not have a disability, or a history/record of having one","White","Male","No","No","30","Developing a risk management appraoch","Current role","Developing a risk management framework, aligned to ISO27005, to support system level risk assessments, supporting a organisational risk assessment and supporting a board level cyber risk, with risk mitigation plans.","Principal Cyber Security Consultant","Large (250 employees or more)","professional, scientific, and technical",NA,"99.86","85.87","100","34.71","100","100","26.06","33.33","32.24","41.15","80.8","18.11","43.35","56.65","6.86","91.77","79.56","61.59","57.89","77.78","84.91","42.52","19.75","82.03","81.62","79.56"
"50-59","No, I do not have a disability, or a history/record of having one","White","Male","No","No","4","Preparation for DIBCAC audit","Current role","The challenge was to articulate and secure broad functional buy in to ensure commitment to complete the required actions for compliance when the perception in our business was that nothing was broken. ","IT Business Partner","Large (250 employees or more)","utilities and production (including manufacturing)",NA,"0","17.77","36.39","0","19.2","0","0","0","0","0","19.2","0","0","0","0","0","0","0","0","0","19.48","0","0","0","14.04","0"
"50-59","No, I do not have a disability, or a history/record of having one","White","Male","No","No","15","Data Transmission","Previous role","Transmitting secure data over a non secure system","Cyber Security Analyst TL","Large (250 employees or more)","professional, scientific, and technical","0","97.94","75.45","70.64","60.63","63.24","79.15","97.53","75.17","94.92","90.4","93.69","55.28","91.36","91.77","81.89","96.16","98.77","79.7","52.81","87.11","97.67","81.62","98.49","99.18","97.39","92.59"
"40-49","No, I do not have a disability, or a history/record of having one","White","Male","No","No","13","Scenario Based Exercising for Cyber Strategy and Policy Training","Current role","we had to develop a cyber incident scenario that was robust technically but was focused on much broader and strategic issues rather than the technical aspects of the attack, so understanding impact on stakeholders and knock on effects, rather than just the attack methodologies.","Director","Micro (1 to 9 employees)","education",NA,"0","49.25","0","48.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30-39","Yes, I have a mental disability or neurodiversity, or have a history/record of having one","White","Male","Yes","No","5","Cyber crisis scenario planning","Previous role","Asked to develop a cyber crisis scenario that integrated a third party product with a stand alone proprietary SaaS platform","Cyber Crisis Content Specialist","Large (250 employees or more)","Other (please state)","Cyber security training","97.94","97.81","71.88","61.87","69.82","52.81","20.85","0.27","52.26","85.46","85.32","6.58","0.27","51.71","44.99","25.79","66.39","5.08","30.59","0.27","52.54","0.27","0.41","27.3","62.69","21.67"
"I prefer not to answer","I prefer not to answer","Prefer not to say","I prefer not to answer","I prefer not to answer","I prefer not to answer","30","Break in","Previous role","Shared building. Theives made of with IT equipment.","CISO","Small (10 to 49 employees)","information and communications","0","100","85.2","85.64","3.71","83.45","100","1.27","1.79","3.42","100","99.77","58.86","76.75","1.49","74.68","3.79","69.73","4.73","2.22","3.29","3.32","3.43","2.07","2.89","1.27","92.61"
"40-49","No, I do not have a disability, or a history/record of having one","Mixed two or more ethnic groups","Male","No","No","8","Preventing disruption to the release of the worlds first viable Covid vaccine","Previous role","Responding rapidly to a critical cyber incident during the Christmas holidays, which transpired to be ransomware, and occurred only a few days before the first vaccine was due to be delivered to its first patient, and be the first viable vaccine delivered to a human patient in the world. Unbeknownst at the time of the response, but getting it right was critical to avoiding disruption to the vaccine rollout. End to end the incident was contained in under an hour, and the problem of getting all required stakeholders engaged during the holidays was overcome, through having robust processes in place as the right people engaged at the right time, to take effective action. ","Associate Director of Cyber Defence Operations","Large (250 employees or more)","Other (please state)","Pharmaceutical ","0","0","0","0","0","78.51","0","0","73.35","47.28","100","0","0","0","0","0","0","0","0","0","58.74","0","0","0","0","0"
